Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Южно-Курильск(Менделеево);2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2016;66608;66495;72613;62453;72179;86512;104466;101288;89898;77426;69017;73775;942730
Якутск;2016;43390;42573;54505;62886;62138;97492;111995;119348;87092;70995;58681;64774;875869
Якутск(Маган);2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2016;5691;5699;5320;5641;5164;4839;4950;4952;5110;5137;6276;5783;64562
Ярославль(Туношна);2016;615;626;335;311;81;1906;2987;3240;2192;1068;1318;1162;15841
Ярцево;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2015;12008;10324;11273;12265;15559;20670;24157;24219;19813;16601;12528;12738;192155
Айхал;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2015;2930;3219;5524;5459;6046;9099;10269;10189;8117;8030;7738;5711;82331
Анапа(Витязево);2015;22417;19488;26754;32719;63095;186977;259284;286504;171254;50612;29642;30238;1178984
Антипаюта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2015;47458;45663;59443;59491;69598;85319;91553;91017;75579;65440;55497;53478;799536
Астрахань(Нариманово);2015;28015;26059;30218;52820;58857;47322;55905;61864;57812;53122;36701;37451;546146
Ачинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2015;4334;3862;5023;7384;7250;6991;8065;7723;5749;6611;6927;6093;76012
Белушье;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2015;23577;21600;24913;23659;25881;33094;44724;47597;35748;28506;23050;24545;356894
Бованенково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2015;1671;1220;1282;379;1694;2257;2204;3162;2345;2615;2923;3185;24937
Буревестник;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2015;118738;104144;117806;116272;140115;155284;180990;197489;169289;135649;120338;122681;1678795
Владикавказ(Беслан);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2015;44321;49524;61814;67183;85741;91432;99696;100352;91199;78448;61958;69854;901522
Вологда;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2015;3564;3379;3195;3777;2193;3925;4175;4378;4281;3527;3099;3032;42525
Воронеж(Чертовицкое);2015;21246;22597;25353;29873;36873;53805;55317;53458;48917;40021;30313;31531;449304
Вуктыл;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2015;256694;220974;256925;274612;359541;446789;514309;520222;444938;339787;267271;268675;4170737
Екатеринбург(Уктус);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2015;726;1114;1589;1510;1470;2135;2787;2361;2321;1839;1425;1194;20471
Игарка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2015;112718;100571;113507;109489;120355;160368;197552;199655;158054;131590;114859;116760;1635478
Кавалерово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2015;95281;92996;109873;124285;151769;188492;210712;221975;192262;160502;132837;113751;1794735
Казачинское(Казачинск);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2015;91139;76714;95153;104427;135956;157728;196833;197910;143159;118165;109577;115599;1542360
Калуга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2015;24388;16311;19959;21201;32111;36195;42563;41857;38382;27069;24497;22581;347114
Кепервеем;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2015;10082;9384;10441;9822;10434;10317;9935;10524;9826;9763;9073;9526;119127
Кодинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2015;1596;1302;1867;2754;3101;5695;6418;7373;3024;318;442;933;34823
Кондинское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2015;213201;181692;202695;224126;281272;256324;406514;358642;302707;263188;219569;211700;3121630
Красноселькуп;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2015;119156;107155;119887;119330;138892;177999;207550;218386;180255;145327;125840;128977;1788754
Красноярск(Черемшанка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2015;426;415;1301;2816;2861;3377;4015;3680;3119;3025;2221;2111;29367
Лабожское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ленск;2015;3938;4175;4967;1737;6;8633;9055;8464;6805;7109;6374;6507;67770
Лешуконское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2015;17174;18225;22356;22267;25697;32887;39532;40540;34829;28407;22380;22335;326629
Магнитогорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2015;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2015;154188;125075;143041;147766;184031;190608;217922;225707;180873;155766;114652;117492;1957121
Мирный;2015;16249;15605;19034;17;18;27932;34693;33264;25633;23403;20237;23049;239134
Москва(Быково);2015;0;0;0;0;0;0;0;0;0;0;0;0;0
Москва(Внуково);2015;1006762;896332;1097141;1217293;1452191;1659186;1964989;2061114;1700249;1219903;804825;735144;15815129
Москва(Домодедово);2015;2043476;1675099;1999663;2142198;2693068;3179691;3683309;3812461;3095739;2393121;1867020;1919670;30504515
Москва(Остафьево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2015;2122021;1952314;2250326;2333287;2587838;2982517;3335229;3335171;2951912;2813293;2322556;2293044;31279508
Мотыгино;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2015;47683;41982;53276;53600;65904;80195;86149;84509;72179;58473;52078;55230;751258
Мыс Шмидта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2015;11927;9700;11491;11902;18425;17162;17493;17638;14620;11496;12396;12950;167200
Назрань(Магас/Слепцовская);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2015;41859;39309;45505;44517;49918;74529;82648;83312;58400;49105;43539;47911;660552
Нижнекамск(Бегишево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2015;51305;50359;54230;66345;83482;111717;122882;120001;102646;78804;53381;51182;946334
Нижняя Пеша;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2015;2392;2182;2386;2490;2830;3378;4076;3963;3390;3023;2786;2441;35337
Никольское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2015;14462;12351;14122;12733;17654;22434;25410;25421;19381;14583;15884;15312;209747
Новосибирск(Северный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2015;249497;208955;235843;234400;290347;358467;420545;432758;360686;298676;251643;258474;3600291
Новый Уренгой;2015;63772;60679;68866;69545;75539;80917;84844;84899;82628;69433;61880;67726;870728
Ноглики;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2015;30759;23352;27353;33733;46287;54931;60121;60064;56051;40376;30566;34509;498102
Норильск(Валек);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2015;16614;14411;15485;15676;18623;20109;22036;22903;20006;17229;15641;16647;215380
Нюрба;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2015;62903;48537;48810;55531;73157;99415;119075;121668;88127;61336;49224;53403;881186
Омсукчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2015;40227;36101;39523;44035;58025;67589;75421;76737;67423;51648;35713;37107;629549
Орск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2015;848;1382;1255;1757;1415;2377;2074;1817;2364;2407;1412;1596;20704
Пенза;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2015;72817;68771;87254;91617;115261;142139;153518;153953;134511;104412;81298;79419;1284970
Песчанка(остров Колгуев);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2015;36751;31758;36303;38403;49835;59325;73781;78154;65399;50989;39901;42201;602800
Печора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2015;3700;3574;3936;81;155;6479;7042;6359;5876;4760;3884;4477;50323
Провидения(Провидения Бухта);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2015;142741;122433;140539;137852;161747;203884;240651;248101;207358;172475;139961;143274;2061016
Ростов-на-Дону(Платов);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2015;872485;733328;863424;933681;1199330;1487714;1675612;1688437;1397491;1061023;796711;792218;13501454
Саранск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2015;27522;24562;30761;34539;35540;47400;54014;54669;46194;36549;26453;31969;450172
Саскылах;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2015;207081;195786;226048;206038;268526;472088;609913;651715;552022;338061;170148;179083;4076509
Среднеколымск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2015;22208;18236;22115;24734;27208;30850;34170;36251;32069;28090;23546;22888;322365
Старый Оскол;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2015;88584;79566;96865;103290;120038;146582;168275;169371;135605;110171;96173;102326;1416846
Сыктывкар;2015;24480;22378;26161;27520;35356;48567;57183;58964;42346;34056;31158;32377;440546
Таганрог(Южный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2015;765;1287;1387;1625;1776;2667;3479;3536;2558;2130;1966;1743;24919
Тара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2015;848;709;1289;1355;1415;2004;2224;2085;1779;1536;984;1339;17567
Тиличики;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2015;33958;30996;31919;32195;36596;53173;58885;63958;49845;38560;38237;37709;506031
Троицко-Печорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2015;82041;75400;95905;101011;117464;146748;171726;175283;132750;107922;92135;100879;1399264
Удское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2015;145967;125682;154403;163012;205385;247188;266675;265935;219733;187378;149715;160429;2291502
Ухта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2015;282;176;260;504;460;280;535;341;300;293;627;146;4204
Хабаровск(Новый);2015;115261;105965;120483;118048;134705;166017;196089;197402;177638;153043;116225;115457;1716333
Хандыга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2015;17974;16070;21677;20775;19201;25144;28884;29436;23688;20164;18765;18331;260109
Харута;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2015;817;566;911;1443;1478;2000;1778;2101;1773;1563;983;1802;17215
Херпучи;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2015;86553;67928;73178;80081;110656;130282;149909;148111;120515;98367;76525;87330;1229435
Череповец;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2015;21021;16384;19063;18624;21898;32482;40010;42313;29578;24599;19606;19988;305566
Чокурдах;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2015;57809;50968;58226;57149;69797;79732;94844;100041;85280;67380;62515;65470;849211
Якутск;2015;49686;44298;55546;60236;60965;92948;113191;117341;88150;73080;56743;59691;871875
Якутск(Маган);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2015;5708;5648;5076;5378;5042;4852;5021;4930;5083;5056;6313;5661;63768
Ярославль(Туношна);2015;821;430;818;828;912;1080;1185;2576;2258;1549;1380;1337;15174
Ярцево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2014;12596;12149;13969;13415;14694;20706;23056;24461;18644;15667;14907;13728;197992
Айхал;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2014;2692;3902;4700;5486;6919;9385;10012;26832;9972;41652;0;7441;128993
Анапа(Витязево);2014;15875;15243;20371;24505;40271;163737;239213;244120;139324;45246;28529;28949;1005383
Антипаюта;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2014;48281;46480;55489;57347;69735;83403;89419;90752;79221;64174;57561;55748;797610
Астрахань(Нариманово);2014;23282;20731;26237;36712;40089;36282;41275;42914;47968;45753;33349;32056;426648
Ачинск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2014;4545;4219;5124;7335;8124;8020;8111;8205;6418;7387;7510;6659;81657
Белушье;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2014;18515;17449;21603;19464;23782;28706;34099;44785;30870;26948;23180;24832;314233
Бованенково;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2014;3210;3064;3428;4378;5308;6056;6979;7338;5992;5109;4149;3798;58809
Буревестник;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2014;130932;122640;140484;131340;143298;156707;180765;189452;161127;150738;133734;131153;1772370
Владикавказ(Беслан);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2014;37800;36507;46211;56483;74452;78888;89173;96567;76617;63404;48007;53639;757748
Вологда;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2014;4411;4645;4387;4720;5106;5180;4734;5758;5641;5853;4957;5174;60566
Воронеж(Чертовицкое);2014;19354;20899;24224;27056;34654;45721;47846;49273;44078;34905;26532;25525;400067
Вуктыл;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
